team1,team2,score1,score2,event,date,winner,rank1,rank2
Tricked,SINNERS,0,2,Exort The Proving Grounds Season 5,Results for October 1st 2025,SINNERS,59,65
FURIA,M80,2,0,ESL Pro League Season 22 Stage 1,Results for October 1st 2025,FURIA,2,24
3DMAX,ENCE,2,1,ESL Pro League Season 22 Stage 1,Results for October 1st 2025,3DMAX,13,70
Astralis,HEROIC,2,1,ESL Pro League Season 22 Stage 1,Results for October 1st 2025,Astralis,12,22
Tricked,SINNERS,0,2,CCT Season 3 Europe Series 8,Results for October 1st 2025,SINNERS,59,65
G2,Fluxo,2,1,ESL Pro League Season 22 Stage 1,Results for October 1st 2025,G2,9,66
GamerLegion,B8,2,0,ESL Pro League Season 22 Stage 1,Results for October 1st 2025,GamerLegion,20,16
BetBoom,CYBERSHOKE,0,2,CCT Season 3 Europe Series 7,Results for October 1st 2025,CYBERSHOKE,32,58
MIBR,Imperial,3,2,FERJEE Rush 2025,Results for October 1st 2025,MIBR,28,23
Gaimin Gladiators,ODDIK,0,2,FERJEE Rush 2025,Results for October 1st 2025,ODDIK,64,47
Passion UA,EYEBALLERS,2,1,Urban Riga Open Season 1,Results for October 1st 2025,Passion UA,17,34
1win,CYBERSHOKE,1,2,CCT Season 3 Europe Series 7,Results for September 30th 2025,CYBERSHOKE,77,58
BIG,EYEBALLERS,0,2,Urban Riga Open Season 1,Results for September 30th 2025,EYEBALLERS,63,34
HEROIC,3DMAX,0,2,ESL Pro League Season 22 Stage 1,Results for September 30th 2025,3DMAX,22,13
FURIA,Legacy,0,2,ESL Pro League Season 22 Stage 1,Results for September 30th 2025,Legacy,2,25
Passion UA,EYEBALLERS,2,1,Urban Riga Open Season 1,Results for September 30th 2025,Passion UA,17,34
MOUZ NXT,BIG,10,13,Urban Riga Open Season 1,Results for September 30th 2025,BIG,69,63
Tricked,Johnny Speeds,2,0,Galaxy Battle 2025 Phase 4,Results for September 30th 2025,Tricked,59,73
NRG,Fluxo,0,2,ESL Pro League Season 22 Stage 1,Results for September 30th 2025,Fluxo,19,66
Astralis,GamerLegion,0,2,ESL Pro League Season 22 Stage 1,Results for September 30th 2025,GamerLegion,12,20
1win,FORZE Reload,2,0,NODWIN Clutch Series 1 Closed Qualifier,Results for September 30th 2025,1win,77,90
BIG,OG,16,14,Urban Riga Open Season 1,Results for September 30th 2025,BIG,63,52
Monte,FAVBET,2,1,Galaxy Battle 2025 Phase 4,Results for September 30th 2025,Monte,31,68
Inner Circle,Gentle Mates,2,1,ESL Pro League Season 22 Stage 1,Results for September 30th 2025,Inner Circle,44,27
G2,B8,1,2,ESL Pro League Season 22 Stage 1,Results for September 30th 2025,B8,9,16
MOUZ NXT,EYEBALLERS,0,2,Urban Riga Open Season 1,Results for September 30th 2025,EYEBALLERS,69,34
OG,Alliance,13,9,Urban Riga Open Season 1,Results for September 30th 2025,OG,52,76
Passion UA,BIG,2,1,Urban Riga Open Season 1,Results for September 30th 2025,Passion UA,17,63
Johnny Speeds,1win,2,1,CCT Season 3 Europe Series 8,Results for September 30th 2025,Johnny Speeds,73,77
Alliance,EYEBALLERS,1,2,Urban Riga Open Season 1,Results for September 30th 2025,EYEBALLERS,76,34
HOTU,ENCE,2,0,ESL Pro League Season 22 Stage 1,Results for September 30th 2025,HOTU,35,70
OG,MOUZ NXT,0,2,Urban Riga Open Season 1,Results for September 30th 2025,MOUZ NXT,52,69
MIBR,ODDIK,2,1,FERJEE Rush 2025,Results for September 30th 2025,MIBR,28,47
Imperial,Gaimin Gladiators,2,0,FERJEE Rush 2025,Results for September 30th 2025,Imperial,23,64
Sharks,Imperial,0,2,FERJEE Rush 2025,Results for September 30th 2025,Imperial,39,23
RED Canids,ODDIK,1,2,FERJEE Rush 2025,Results for September 29th 2025,ODDIK,38,47
BESTIA,MIBR,0,2,FERJEE Rush 2025,Results for September 29th 2025,MIBR,37,28
G2,Gentle Mates,1,2,ESL Pro League Season 22 Stage 1,Results for September 29th 2025,Gentle Mates,9,27
FURIA,Fluxo,2,0,ESL Pro League Season 22 Stage 1,Results for September 29th 2025,FURIA,2,66
Legacy,NRG,2,1,ESL Pro League Season 22 Stage 1,Results for September 29th 2025,Legacy,25,19
M80,HEROIC,0,2,ESL Pro League Season 22 Stage 1,Results for September 29th 2025,HEROIC,24,22
GamerLegion,Inner Circle,1,2,ESL Pro League Season 22 Stage 1,Results for September 29th 2025,Inner Circle,20,44
Astralis,ENCE,1,2,ESL Pro League Season 22 Stage 1,Results for September 29th 2025,ENCE,12,70
B8,HOTU,1,2,ESL Pro League Season 22 Stage 1,Results for September 29th 2025,HOTU,16,35
9z,Gaimin Gladiators,1,2,FERJEE Rush 2025,Results for September 29th 2025,Gaimin Gladiators,42,64
ODDIK,Bounty Hunters,2,0,FERJEE Rush 2025,Results for September 29th 2025,ODDIK,47,88
BESTIA,ODDIK,2,0,FERJEE Rush 2025,Results for September 29th 2025,BESTIA,37,47
OG,Passion UA,2,1,Digital Crusade DraculaN Season 2,Results for September 28th 2025,OG,52,17
Betclic,1win,0,2,CCT Season 3 Europe Series 7,Results for September 28th 2025,1win,93,77
M80,ENCE,1,2,ESL Pro League Season 22 Stage 1,Results for September 28th 2025,ENCE,24,70
HEROIC,Gentle Mates,1,2,ESL Pro League Season 22 Stage 1,Results for September 28th 2025,Gentle Mates,22,27
JiJieHao,FAVBET,0,2,CCT Season 3 Europe Series 7,Results for September 28th 2025,FAVBET,79,68
PARIVISION,BetBoom,3,2,Majestic LanDaLan 3,Results for September 28th 2025,PARIVISION,6,32
Legacy,B8,1,2,ESL Pro League Season 22 Stage 1,Results for September 28th 2025,B8,25,16
FURIA,HOTU,0,2,ESL Pro League Season 22 Stage 1,Results for September 28th 2025,HOTU,2,35
Sashi,SINNERS,2,1,CCT Season 3 Europe Series 7,Results for September 28th 2025,Sashi,78,65
Liquid,9INE,1,2,Birch Cup 2025,Results for September 28th 2025,9INE,15,41
3DMAX,Inner Circle,1,2,ESL Pro League Season 22 Stage 1,Results for September 28th 2025,Inner Circle,13,44
GamerLegion,NRG,2,0,ESL Pro League Season 22 Stage 1,Results for September 28th 2025,GamerLegion,20,19
Astralis,Fluxo,2,1,ESL Pro League Season 22 Stage 1,Results for September 28th 2025,Astralis,12,66
9INE,Johnny Speeds,2,0,Birch Cup 2025,Results for September 28th 2025,9INE,41,73
1win,UNiTY,2,0,CCT Season 3 Europe Series 8 Closed Qualifier,Results for September 28th 2025,1win,77,91
BESTIA,Bounty Hunters,2,0,FERJEE Rush 2025,Results for September 28th 2025,BESTIA,37,88
9z,Sharks,0,2,FERJEE Rush 2025,Results for September 28th 2025,Sharks,42,39
MIBR,RED Canids,1,2,FERJEE Rush 2025,Results for September 28th 2025,RED Canids,28,38
Sharks,Gaimin Gladiators,2,0,FERJEE Rush 2025,Results for September 28th 2025,Sharks,39,64
FAVBET,ARCRED,2,1,CCT Season 3 Europe Series 7,Results for September 27th 2025,FAVBET,68,60
Liquid,ENCE,1,0,Birch Cup 2025,Results for September 27th 2025,Liquid,15,70
Passion UA,GenOne,2,1,Digital Crusade DraculaN Season 2,Results for September 27th 2025,Passion UA,17,56
ENCE,FUT,2,0,Birch Cup 2025,Results for September 27th 2025,ENCE,70,14
Monte,fnatic,10,13,Birch Cup 2025,Results for September 27th 2025,fnatic,31,33
9INE,Liquid,13,7,Birch Cup 2025,Results for September 27th 2025,9INE,41,15
9INE,Betclic,13,10,Birch Cup 2025,Results for September 27th 2025,9INE,41,93
Monte,BIG,13,8,Birch Cup 2025,Results for September 27th 2025,Monte,31,63
ENCE,Johnny Speeds,5,13,Birch Cup 2025,Results for September 27th 2025,Johnny Speeds,70,73
GenOne,FlyQuest,2,1,Digital Crusade DraculaN Season 2,Results for September 26th 2025,GenOne,56,29
Wildcard,Betclic,0,2,Birch Cup 2025,Results for September 26th 2025,Betclic,75,93
ECSTATIC,OG,1,2,Digital Crusade DraculaN Season 2,Results for September 26th 2025,OG,50,52
Tricked,Betclic,0,2,Birch Cup 2025,Results for September 26th 2025,Betclic,59,93
FlyQuest,SINNERS,2,1,Digital Crusade DraculaN Season 2,Results for September 26th 2025,FlyQuest,29,65
FORZE Reload,Sashi,0,2,Winline Insight Season 8,Results for September 26th 2025,Sashi,90,78
ARCRED,1win,0,2,CCT Season 3 Europe Series 7,Results for September 26th 2025,1win,60,77
Nemiga,Nuclear TigeRES,0,2,Majestic LanDaLan 3,Results for September 26th 2025,Nuclear TigeRES,55,43
Betclic,Nemesis,11,13,Birch Cup 2025,Results for September 26th 2025,Nemesis,93,45
Wildcard,MOUZ NXT,13,10,Birch Cup 2025,Results for September 26th 2025,Wildcard,75,69
SINNERS,OG,0,2,Digital Crusade DraculaN Season 2,Results for September 26th 2025,OG,65,52
PARIVISION,Nuclear TigeRES,2,0,Majestic LanDaLan 3,Results for September 25th 2025,PARIVISION,6,43
ECSTATIC,BIG Academy,2,1,Digital Crusade DraculaN Season 2,Results for September 25th 2025,ECSTATIC,50,81
Sashi,HOTU,1,3,European Pro League Series 2,Results for September 25th 2025,HOTU,78,35
9z,BESTIA,2,0,Aorus League Latam 2025,Results for September 25th 2025,9z,42,37
ENCE,FUT,0,2,Exort The Proving Grounds Season 4,Results for September 24th 2025,FUT,70,14
Alliance,Tricked,2,1,Winline Insight Season 8,Results for September 24th 2025,Alliance,76,59
ENCE,fnatic,2,1,Exort The Proving Grounds Season 4,Results for September 24th 2025,ENCE,70,33
Monte,Sangal,2,0,Galaxy Battle 2025 Phase 4,Results for September 24th 2025,Monte,31,97
Alliance,BC.Game,1,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 23rd 2025,BC.Game,76,26
fnatic,Nemiga,2,0,Exort The Proving Grounds Season 4,Results for September 23rd 2025,fnatic,33,55
UNiTY,FORZE Reload,2,1,Exort Series 16,Results for September 23rd 2025,UNiTY,91,90
Sashi,FORZE Reload,2,0,Winline Insight Season 8,Results for September 23rd 2025,Sashi,78,90
SINNERS,Sashi,1,2,European Pro League Series 2,Results for September 23rd 2025,Sashi,65,78
Marsborne,Wildcard,0,2,ESL Challenger League Season 50 North America Cup 2,Results for September 23rd 2025,Wildcard,53,75
The MongolZ,FURIA,2,3,FISSURE Playground 2,Results for September 21st 2025,FURIA,10,2
K27,FORZE Reload,2,0,ESEA League Season 54 Europe Elite Cup 2,Results for September 21st 2025,K27,40,90
Nemiga,Monte,2,0,Exort The Proving Grounds Season 4,Results for September 21st 2025,Nemiga,55,31
BC.Game,Alliance,0,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 21st 2025,Alliance,26,76
Natus Vincere,Ninjas in Pyjamas,2,0,StarLadder StarSeries Fall 2025,Results for September 21st 2025,Natus Vincere,8,21
SINNERS,FORZE Reload,1,2,CCT Season 3 Europe Series 7,Results for September 21st 2025,FORZE Reload,65,90
Ninjas in Pyjamas,B8,2,0,StarLadder StarSeries Fall 2025,Results for September 21st 2025,Ninjas in Pyjamas,21,16
Sashi,Betclic,2,1,European Pro League Series 2,Results for September 21st 2025,Sashi,78,93
Tricked,FAVBET,1,2,Galaxy Battle 2025 Phase 4,Results for September 21st 2025,FAVBET,59,68
ENCE,Sangal,2,1,Exort The Proving Grounds Season 4,Results for September 21st 2025,ENCE,70,97
Inner Circle,K27,1,3,ESEA Advanced Season 54 Europe,Results for September 20th 2025,K27,44,40
Gentle Mates,B8,1,2,StarLadder StarSeries Fall 2025,Results for September 20th 2025,B8,27,16
Sharks,9z,0,3,Odyssey Cup Champions 2025,Results for September 20th 2025,9z,39,42
FURIA,Falcons,2,0,FISSURE Playground 2,Results for September 20th 2025,FURIA,2,3
Ninjas in Pyjamas,Natus Vincere,0,2,StarLadder StarSeries Fall 2025,Results for September 20th 2025,Natus Vincere,21,8
Chinggis Warriors,Rare Atom,1,2,ESL Challenger League Season 50 Asia-Pacific Cup 2,Results for September 20th 2025,Rare Atom,83,72
The MongolZ,Liquid,2,1,FISSURE Playground 2,Results for September 20th 2025,The MongolZ,10,15
B8,Passion UA,2,0,StarLadder StarSeries Fall 2025,Results for September 20th 2025,B8,16,17
CYBERSHOKE,JiJieHao,0,2,Exort The Proving Grounds Season 4,Results for September 20th 2025,JiJieHao,58,79
BetBoom,Sashi,2,0,CCT Season 3 Europe Series 6,Results for September 20th 2025,BetBoom,32,78
Gentle Mates,PARIVISION,2,1,StarLadder StarSeries Fall 2025,Results for September 20th 2025,Gentle Mates,27,6
RED Canids,BESTIA,0,2,ESL Challenger League Season 50 South America Cup 2,Results for September 20th 2025,BESTIA,38,37
Falcons,paiN,2,0,FISSURE Playground 2,Results for September 19th 2025,Falcons,3,18
9INE,HOTU,2,0,ESL Challenger League Season 50 Europe Cup 2,Results for September 19th 2025,9INE,41,35
Passion UA,Natus Vincere,0,2,StarLadder StarSeries Fall 2025,Results for September 19th 2025,Natus Vincere,17,8
RUSTEC,FORZE Reload,0,2,ESEA League Season 54 Europe Elite Cup 2,Results for September 19th 2025,FORZE Reload,98,90
FURIA,Astralis,2,0,FISSURE Playground 2,Results for September 19th 2025,FURIA,2,12
JiJieHao,Johnny Speeds,2,1,Exort The Proving Grounds Season 4,Results for September 19th 2025,JiJieHao,79,73
Sashi,HOTU,1,0,CCT Season 3 Europe Series 6,Results for September 19th 2025,Sashi,78,35
PARIVISION,Ninjas in Pyjamas,0,2,StarLadder StarSeries Fall 2025,Results for September 19th 2025,Ninjas in Pyjamas,6,21
The Huns,Rare Atom,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 2,Results for September 19th 2025,Rare Atom,67,72
Aurora,Liquid,0,2,FISSURE Playground 2,Results for September 19th 2025,Liquid,11,15
Gentle Mates,9INE,2,0,StarLadder StarSeries Fall 2025,Results for September 19th 2025,Gentle Mates,27,41
B8,OG,2,1,StarLadder StarSeries Fall 2025,Results for September 19th 2025,B8,16,52
HOTU,FAVBET,2,1,European Pro League Series 2,Results for September 19th 2025,HOTU,35,68
G2,The MongolZ,1,2,FISSURE Playground 2,Results for September 19th 2025,The MongolZ,9,10
Natus Vincere,9INE,2,1,StarLadder StarSeries Fall 2025,Results for September 18th 2025,Natus Vincere,8,41
1win,K27,0,2,ESEA Advanced Season 54 Europe,Results for September 18th 2025,K27,77,40
HOTU,Monte,2,1,ESL Challenger League Season 50 Europe Cup 2,Results for September 18th 2025,HOTU,35,31
fnatic,Alliance,1,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 18th 2025,Alliance,33,76
Passion UA,Gentle Mates,2,0,StarLadder StarSeries Fall 2025,Results for September 18th 2025,Passion UA,17,27
BC.Game,9INE,1,0,ESL Challenger League Season 50 Europe Cup 2,Results for September 18th 2025,BC.Game,26,41
Chinggis Warriors,Rare Atom,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 2,Results for September 18th 2025,Chinggis Warriors,83,72
Ninjas in Pyjamas,OG,2,0,StarLadder StarSeries Fall 2025,Results for September 18th 2025,Ninjas in Pyjamas,21,52
FUT,FAVBET,2,0,CCT Season 3 Europe Series 6,Results for September 18th 2025,FUT,14,68
CYBERSHOKE,Monte,0,2,Exort The Proving Grounds Season 4,Results for September 18th 2025,Monte,58,31
B8,PARIVISION,0,2,StarLadder StarSeries Fall 2025,Results for September 18th 2025,PARIVISION,16,6
BESTIA,ODDIK,2,0,ESL Challenger League Season 50 South America Cup 2,Results for September 18th 2025,BESTIA,37,47
MIBR,RED Canids,2,0,ESL Challenger League Season 50 South America Cup 2,Results for September 18th 2025,MIBR,28,38
FUT,Sangal,2,1,ESL Challenger League Season 50 Europe Cup 2,Results for September 17th 2025,FUT,14,97
paiN,Virtus.pro,2,1,FISSURE Playground 2,Results for September 17th 2025,paiN,18,61
JiJieHao,SINNERS,1,2,European Pro League Series 2,Results for September 17th 2025,SINNERS,79,65
Astralis,GamerLegion,2,0,FISSURE Playground 2,Results for September 17th 2025,Astralis,12,20
Betclic,Monte,1,2,Exort The Proving Grounds Season 4,Results for September 17th 2025,Monte,93,31
FaZe,Liquid,0,2,FISSURE Playground 2,Results for September 17th 2025,Liquid,7,15
Sharks,BESTIA,2,0,CCT Season 3 South America Series 4,Results for September 17th 2025,Sharks,39,37
BESTIA,RED Canids,2,0,CCT Season 3 South America Series 4,Results for September 16th 2025,BESTIA,37,38
Astralis,Legacy,2,0,FISSURE Playground 2,Results for September 16th 2025,Astralis,12,25
FURIA,paiN,2,0,FISSURE Playground 2,Results for September 16th 2025,FURIA,2,18
ODDIK,Sharks,1,2,CCT Season 3 South America Series 4,Results for September 16th 2025,Sharks,47,39
Tricked,FAVBET,1,2,CCT Season 3 Europe Series 6,Results for September 16th 2025,FAVBET,59,68
TYLOO,Liquid,1,2,FISSURE Playground 2,Results for September 16th 2025,Liquid,30,15
FaZe,The MongolZ,1,2,FISSURE Playground 2,Results for September 16th 2025,The MongolZ,7,10
3DMAX,Virtus.pro,1,2,FISSURE Playground 2,Results for September 16th 2025,Virtus.pro,13,61
G2,GamerLegion,2,1,FISSURE Playground 2,Results for September 16th 2025,G2,9,20
CYBERSHOKE,Sangal,0,2,Exort The Proving Grounds Season 4,Results for September 16th 2025,Sangal,58,97
Fluxo,BESTIA,0,2,CCT Season 3 South America Series 4,Results for September 16th 2025,BESTIA,66,37
RED Canids,ShindeN,2,1,CCT Season 3 South America Series 4,Results for September 16th 2025,RED Canids,38,71
Astralis,paiN,0,2,FISSURE Playground 2,Results for September 15th 2025,paiN,12,18
Aurora,FURIA,2,0,FISSURE Playground 2,Results for September 15th 2025,Aurora,11,2
Falcons,FaZe,2,0,FISSURE Playground 2,Results for September 15th 2025,Falcons,3,7
Monte,Johnny Speeds,2,1,Exort The Proving Grounds Season 4,Results for September 15th 2025,Monte,31,73
Legacy,G2,0,2,FISSURE Playground 2,Results for September 15th 2025,G2,25,9
3DMAX,GamerLegion,1,2,FISSURE Playground 2,Results for September 15th 2025,GamerLegion,13,20
Liquid,HEROIC,2,1,FISSURE Playground 2,Results for September 15th 2025,Liquid,15,22
TYLOO,The MongolZ,1,2,FISSURE Playground 2,Results for September 15th 2025,The MongolZ,30,10
Virtus.pro,Lynn Vision,2,0,FISSURE Playground 2,Results for September 15th 2025,Virtus.pro,61,36
Wildcard,Marsborne,1,2,PrizePicks NA Revival Series 9,Results for September 15th 2025,Marsborne,75,53
fnatic,ECSTATIC,1,2,Betclic Clash Summer 2025,Results for September 14th 2025,ECSTATIC,33,50
Wildcard,BOSS,2,0,PrizePicks NA Revival Series 9,Results for September 14th 2025,Wildcard,75,94
HEROIC,paiN,1,2,FISSURE Playground 2,Results for September 14th 2025,paiN,22,18
FURIA,G2,2,0,FISSURE Playground 2,Results for September 14th 2025,FURIA,2,9
ECSTATIC,BIG,2,1,Betclic Clash Summer 2025,Results for September 14th 2025,ECSTATIC,50,63
Aurora,TYLOO,2,0,FISSURE Playground 2,Results for September 14th 2025,Aurora,11,30
9z,ShindeN,1,2,CCT Season 3 South America Series 4,Results for September 14th 2025,ShindeN,42,71
GamerLegion,Liquid,2,0,FISSURE Playground 2,Results for September 14th 2025,GamerLegion,20,15
SINNERS,UNiTY,2,0,Tipsport Cup Summer 2025 Finals,Results for September 14th 2025,SINNERS,65,91
Falcons,Legacy,2,0,FISSURE Playground 2,Results for September 14th 2025,Falcons,3,25
EYEBALLERS,ARCRED,0,2,European Pro League Series 2,Results for September 14th 2025,ARCRED,34,60
fnatic,Nemiga,2,0,Betclic Clash Summer 2025,Results for September 14th 2025,fnatic,33,55
Virtus.pro,Astralis,0,2,FISSURE Playground 2,Results for September 14th 2025,Astralis,61,12
Chinggis Warriors,The Huns,1,2,CS Asia Championships 2025 East Asia Open Qualifier,Results for September 14th 2025,The Huns,83,67
3DMAX,FaZe,1,2,FISSURE Playground 2,Results for September 14th 2025,FaZe,13,7
The MongolZ,Lynn Vision,2,0,FISSURE Playground 2,Results for September 14th 2025,The MongolZ,10,36
Sharks,Bounty Hunters,2,1,CCT Season 3 South America Series 4,Results for September 14th 2025,Sharks,39,88
Sangal,9INE,1,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 13th 2025,9INE,97,41
FURIA,Liquid,2,1,FISSURE Playground 2,Results for September 13th 2025,FURIA,2,15
HOTU,OG,2,1,ESL Challenger League Season 50 Europe Cup 2,Results for September 13th 2025,HOTU,35,52
ENCE,FUT,1,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 13th 2025,FUT,70,14
FaZe,paiN,2,0,FISSURE Playground 2,Results for September 13th 2025,FaZe,7,18
Nemiga,ENCE,2,0,Betclic Clash Summer 2025,Results for September 13th 2025,Nemiga,55,70
Johnny Speeds,ARCRED,1,2,CCT Season 3 Europe Series 6,Results for September 13th 2025,ARCRED,73,60
FAVBET,EYEBALLERS,2,1,European Pro League Series 2,Results for September 13th 2025,FAVBET,68,34
G2,Lynn Vision,2,0,FISSURE Playground 2,Results for September 13th 2025,G2,9,36
HEROIC,Legacy,1,2,FISSURE Playground 2,Results for September 13th 2025,Legacy,22,25
JiJieHao,SINNERS,2,0,Exort The Proving Grounds Season 4,Results for September 13th 2025,JiJieHao,79,65
Sharks,ODDIK,0,2,ESL Challenger League Season 50 South America Cup 2,Results for September 13th 2025,ODDIK,39,47
Johnny Speeds,FUT,1,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 12th 2025,FUT,73,14
Betclic,ENCE,1,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 12th 2025,ENCE,93,70
Aurora,Astralis,2,1,FISSURE Playground 2,Results for September 12th 2025,Aurora,11,12
Sashi,JiJieHao,2,0,ESL Challenger League Season 50 Europe Cup 2,Results for September 12th 2025,Sashi,78,79
Tricked,OG,0,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 12th 2025,OG,59,52
HOTU,Nemiga,1,0,ESL Challenger League Season 50 Europe Cup 2,Results for September 12th 2025,HOTU,35,55
Falcons,Virtus.pro,2,0,FISSURE Playground 2,Results for September 12th 2025,Falcons,3,61
Eruption,The Huns,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 2,Results for September 12th 2025,The Huns,95,67
The MongolZ,3DMAX,1,2,FISSURE Playground 2,Results for September 12th 2025,3DMAX,10,13
Johnny Speeds,Sangal,0,2,Exort The Proving Grounds Season 4,Results for September 12th 2025,Sangal,73,97
GamerLegion,TYLOO,0,2,FISSURE Playground 2,Results for September 12th 2025,TYLOO,20,30
RED Canids,ODDIK,2,1,ESL Challenger League Season 50 South America Cup 2,Results for September 12th 2025,RED Canids,38,47
BESTIA,Fluxo,2,0,ESL Challenger League Season 50 South America Cup 2,Results for September 12th 2025,BESTIA,37,66
Bounty Hunters,ShindeN,0,2,CCT Season 3 South America Series 4,Results for September 11th 2025,ShindeN,88,71
Alliance,ENCE,2,1,ESL Challenger League Season 50 Europe Cup 2,Results for September 11th 2025,Alliance,76,70
Johnny Speeds,FAVBET,1,2,CCT Season 3 Europe Series 6,Results for September 11th 2025,FAVBET,73,68
Legacy,Imperial,0,2,Thunderpick World Championship 2025 Closed Qualifier,Results for September 11th 2025,Imperial,25,23
OG,BC.Game,0,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 11th 2025,BC.Game,52,26
BIG,OG,1,2,Thunderpick World Championship 2025 Closed Qualifier,Results for September 11th 2025,OG,63,52
Rare Atom,Eruption,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 2,Results for September 11th 2025,Rare Atom,72,95
FAVBET,FORZE Reload,2,1,Galaxy Battle 2025 Phase 4 Closed Qualifier,Results for September 11th 2025,FAVBET,68,90
9z,PARIVISION,2,0,Thunderpick World Championship 2025 Closed Qualifier,Results for September 11th 2025,9z,42,6
Alliance,ARCRED,2,0,CCT Season 3 Europe Series 6,Results for September 11th 2025,Alliance,76,60
1win,Inner Circle,0,2,ESEA Advanced Season 54 Europe,Results for September 10th 2025,Inner Circle,77,44
Monte,FAVBET,2,0,ESL Challenger League Season 50 Europe Cup 2,Results for September 10th 2025,Monte,31,68
CYBERSHOKE,FAVBET,2,0,CCT Season 3 Europe Series 6,Results for September 10th 2025,CYBERSHOKE,58,68
OG,M80,2,0,Thunderpick World Championship 2025 Closed Qualifier,Results for September 10th 2025,OG,52,24
ENCE,Nemiga,1,2,Thunderpick World Championship 2025 Closed Qualifier,Results for September 10th 2025,Nemiga,70,55
Sharks,ShindeN,0,2,ESL Challenger League Season 50 South America Cup 2,Results for September 10th 2025,ShindeN,39,71
ODDIK,Bounty Hunters,2,0,ESL Challenger League Season 50 South America Cup 2,Results for September 10th 2025,ODDIK,47,88
BetBoom,9z,1,2,Thunderpick World Championship 2025 Closed Qualifier,Results for September 9th 2025,9z,32,42
Betclic,Sangal,1,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 9th 2025,Sangal,93,97
K27,1win,0,2,ESEA Advanced Season 54 Europe,Results for September 9th 2025,1win,40,77
Johnny Speeds,9INE,0,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 9th 2025,9INE,73,41
BC.Game,Sashi,2,0,ESL Challenger League Season 50 Europe Cup 2,Results for September 9th 2025,BC.Game,26,78
Legacy,JiJieHao,2,0,Thunderpick World Championship 2025 Closed Qualifier,Results for September 9th 2025,Legacy,25,79
FAVBET,ARCRED,2,1,European Pro League Series 2,Results for September 9th 2025,FAVBET,68,60
ECSTATIC,PARIVISION,1,2,Thunderpick World Championship 2025 Closed Qualifier,Results for September 9th 2025,PARIVISION,50,6
ENCE,FAVBET,2,1,ESL Challenger League Season 50 Europe Cup 2,Results for September 8th 2025,ENCE,70,68
Monte,Alliance,0,2,ESL Challenger League Season 50 Europe Cup 2,Results for September 8th 2025,Alliance,31,76
JiJieHao,Tricked,2,0,ESL Challenger League Season 50 Europe Cup 2,Results for September 8th 2025,JiJieHao,79,59
SINNERS,FORZE Reload,0,2,European Pro League Series 2,Results for September 8th 2025,FORZE Reload,65,90
NRG,Ninjas in Pyjamas,3,1,Fragadelphia Fragville 2025,Results for September 8th 2025,NRG,19,21
ODDIK,Wildcard,1,2,Fragadelphia Fragville 2025,Results for September 8th 2025,Wildcard,47,75
Vitality,G2,2,3,BLAST Open London 2025 Finals,Results for September 7th 2025,G2,1,9
Ninjas in Pyjamas,Wildcard,2,0,Fragadelphia Fragville 2025,Results for September 7th 2025,Ninjas in Pyjamas,21,75
NRG,ODDIK,2,1,Fragadelphia Fragville 2025,Results for September 7th 2025,NRG,19,47
Wildcard,Fluxo,2,1,Fragadelphia Fragville 2025,Results for September 7th 2025,Wildcard,75,66
Ninjas in Pyjamas,Marsborne,2,0,Fragadelphia Fragville 2025,Results for September 7th 2025,Ninjas in Pyjamas,21,53
K27,Nuclear TigeRES,2,0,ESEA Advanced Season 54 Europe,Results for September 6th 2025,K27,40,43
FURIA,G2,0,2,BLAST Open London 2025 Finals,Results for September 6th 2025,G2,2,9
Vitality,MOUZ,2,0,BLAST Open London 2025 Finals,Results for September 6th 2025,Vitality,1,4
EYEBALLERS,ARCRED,2,0,CCT Season 3 Europe Series 6 Closed Qualifier,Results for September 6th 2025,EYEBALLERS,34,60
Chinggis Warriors,The Huns,1,2,eXTREMESLAND 2025 Mongolia Open Qualifier 1,Results for September 6th 2025,The Huns,83,67
FaZe,G2,0,2,BLAST Open London 2025 Finals,Results for September 5th 2025,G2,7,9
ENCE,Betclic,2,0,Betclic Clash Summer 2025 Play-in,Results for September 5th 2025,ENCE,70,93
Ursa,Nuclear TigeRES,1,2,ESEA Advanced Season 54 Europe,Results for September 5th 2025,Nuclear TigeRES,85,43
MOUZ,M80,2,1,BLAST Open London 2025 Finals,Results for September 5th 2025,MOUZ,4,24
Chinggis Warriors,The Huns,2,1,eXTREMESLAND 2025 Mongolia Open Qualifier 1,Results for September 5th 2025,Chinggis Warriors,83,67
1win,FORZE Reload,0,2,European Pro League Series 2 Closed Qualifier,Results for September 5th 2025,FORZE Reload,77,90
